[0.000000] (-) TimerEvent: {}
[0.000315] (-) JobUnselected: {'identifier': 'autonomous_exploration'}
[0.000535] (-) JobUnselected: {'identifier': 'bno08x_driver'}
[0.000560] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000579] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000596] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000614] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000630] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000646] (-) JobUnselected: {'identifier': 'explore_lite'}
[0.000662] (-) JobUnselected: {'identifier': 'fake_rplidar'}
[0.000678] (-) JobUnselected: {'identifier': 'maze_explorer'}
[0.000694] (-) JobUnselected: {'identifier': 'multirobot_map_merge'}
[0.000710] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000726] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000742] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000758] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000774] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000790] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000812] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000843] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000995] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002216] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.002334] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.002385] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002430] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.002479] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.002525] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.002562] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.002604] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.002645] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002679] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002723] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002752] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002801] (-) JobUnselected: {'identifier': 'nav2_ros_common'}
[0.002838] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002867] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.002900] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.003268] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.003470] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.003519] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.003557] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.003599] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.003635] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.003675] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.003706] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.003742] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.003782] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.003815] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.003848] (-) JobUnselected: {'identifier': 'navigation2'}
[0.003884] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.003975] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.004071] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.004096] (-) JobUnselected: {'identifier': 'opennav_following'}
[0.004125] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.004143] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.006148] (-) EventReactorShutdown: {}
